Price,Close,High,Low,Open,Volume,Close_diff,LogReturn,Volatility
Ticker,ASIANPAINT.NS,ASIANPAINT.NS,ASIANPAINT.NS,ASIANPAINT.NS,ASIANPAINT.NS,,,
Date,,,,,,,,
2020-01-01,1723.8363037109375,1732.8247256504724,1714.2231186192002,1720.9523481834162,397285,,,
2020-01-02,1721.3848876953125,1730.277083263451,1714.4153290067716,1721.7213256795537,411266,-2.451416015625,-0.0014230821727496108,
2020-01-03,1683.653076171875,1710.9545423141344,1679.47136458432,1710.9545423141344,1318628,-37.7318115234375,-0.02216325129443284,
2020-01-06,1641.114501953125,1670.771147001857,1628.473143280291,1670.7230341491686,1871804,-42.53857421875,-0.025590297430700713,
2020-01-07,1657.697509765625,1673.174712884527,1644.8158194458063,1644.8158194458063,1033650,16.5830078125,0.010054011833299716,
2020-01-08,1661.9273681640625,1668.848814001651,1629.4347579105981,1630.3960763518432,1006057,4.2298583984375,0.002548396787680842,
2020-01-09,1703.9847412109375,1706.3399240258582,1673.6551029459263,1694.8041048211765,1781733,42.057373046875,0.024991479665960332,
2020-01-10,1723.211181640625,1727.7774436081188,1691.9202237450602,1703.456043452413,1256612,19.2264404296875,0.011220042601834875,
2020-01-13,1735.0836181640625,1738.0155688995603,1724.9416620197308,1729.4118160868638,823821,11.8724365234375,0.006866090864277578,
2020-01-14,1748.7823486328125,1751.1856445748226,1734.987453395361,1735.1796701313478,775629,13.69873046875,0.007864137827736544,
2020-01-15,1770.9886474609375,1773.632272799799,1740.082240484199,1747.1960194111841,1252925,22.206298828125,0.012618203565416996,
2020-01-16,1764.16357421875,1776.5164928121765,1758.0111126787162,1764.9325585684771,1031569,-6.8250732421875,-0.003861266103410424,
2020-01-17,1759.2608642578125,1767.7685090120895,1744.792974745477,1764.5961112095388,862204,-4.9027099609375,-0.002782925083651636,
2020-01-20,1777.237548828125,1790.2153483733202,1762.6735503132718,1766.9033751162103,1091453,17.9766845703125,0.010166462588051374,
2020-01-21,1740.7073974609375,1771.277371358348,1724.4610920544324,1768.777849489313,2101561,-36.5301513671875,-0.0207686390666915,
2020-01-22,1710.42578125,1748.349745590834,1698.5054094945176,1744.7929144126738,3415306,-30.2816162109375,-0.017549246468648805,
2020-01-23,1707.3974609375,1719.798490853249,1689.1324126836087,1710.185307561727,1885275,-3.0283203125,-0.0017720759035134003,
2020-01-24,1717.6837158203125,1730.276963036959,1711.3870335377721,1714.6555394756676,1195596,10.2862548828125,0.006006447892517313,
2020-01-27,1719.1739501953125,1735.9009158976594,1711.1469640303662,1717.8761936641934,969054,1.490234375,0.0008672075559774956,
2020-01-28,1710.281494140625,1724.605161369737,1704.4174755343054,1724.605161369737,873291,-8.8924560546875,-0.005185940525237624,
2020-01-29,1727.4410400390625,1734.0741604230498,1712.1080586040773,1717.875968964338,873805,17.1595458984375,0.009983172430558348,0.013190863448399207
2020-01-30,1735.1798095703125,1738.928975010818,1716.9147589432566,1730.3732173000346,1005975,7.73876953125,0.004469898815036106,0.013220729657488262
2020-01-31,1726.19140625,1753.4447593858993,1719.510172969374,1739.9863018028934,1169614,-8.9884033203125,-0.005193562298647468,0.012201781515880568
2020-02-03,1795.4063720703125,1800.4532937794943,1696.7270127058614,1700.3800696442643,2854532,69.2149658203125,0.03931390507294151,0.013272313165384885
2020-02-04,1818.1417236328125,1823.380862511642,1783.2939280529802,1797.6655926699725,1830049,22.7353515625,0.012583561067357621,0.013339977698909872
2020-02-05,1801.0299072265625,1816.8916598122246,1793.9642409080898,1815.9303414736996,1344016,-17.11181640625,-0.00945627655420787,0.013703191949508909
2020-02-06,1784.9761962890625,1809.5859258478908,1773.632591313101,1805.356101076425,995386,-16.0537109375,-0.008953592225915376,0.01305575911279402
2020-02-07,1786.80224609375,1803.9137584745513,1779.0155914693,1784.9758352343583,632858,1.8260498046875,0.0010224878128560202,0.012888006781212002
2020-02-10,1797.1846923828125,1800.308977084735,1766.1340620981782,1794.7813964582567,747711,10.3824462890625,0.005793813153156627,0.012868089787180428
2020-02-11,1805.4521484375,1821.2177944082682,1800.3091182254338,1807.2786769530453,1093021,8.2674560546875,0.004589677468421063,0.012807001014568536
2020-02-12,1820.448486328125,1842.5588080607924,1805.5480521169795,1807.2784720615166,1616826,14.996337890625,0.008271833626601912,0.012645962519814528
2020-02-13,1801.5587158203125,1828.3794041308242,1795.790805672085,1815.9303783336063,638878,-18.8897705078125,-0.010430648376994619,0.012872478863354235
